Scenario,Group,Uniform_Median,Uniform_Q1,Uniform_Q3,Poisson_Median,Poisson_Q1,Poisson_Q3,Synchronized_Median,Synchronized_Q1,Synchronized_Q3,Delta_Sync_vs_Uniform_Median,Pvalue_Sync_vs_Uniform,Npairs_Sync_vs_Uniform,Delta_Sync_vs_Poisson_Median,Pvalue_Sync_vs_Poisson,Npairs_Sync_vs_Poisson
Festival,Target,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9162824413291019,100,0.0,0.17971249487899976,100
Festival,Background,0.9466571834992887,0.9106060606060606,0.9696969696969697,0.9370882740447959,0.906423034330011,0.9706937799043063,0.95,0.9136554621848739,0.9751524390243902,0.0,0.03211461999756978,100,0.0,0.009384303503381132,100
Festival,Total,0.9565217391304348,0.9225708502024292,0.9767441860465116,0.9502467105263157,0.9230769230769231,0.9773498062015503,0.9595918367346938,0.9301305589555283,0.9796938775510204,0.0,0.07914525727695075,100,0.0,0.06825050425445393,100
Lunch,Target,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13460465781116093,100,0.0,0.31420433695387695,100
Lunch,Background,0.9302325581395349,0.8918650793650794,0.9545454545454546,0.9333333333333333,0.9030291109362707,0.9569746376811594,0.944949494949495,0.913975155279503,0.9736842105263158,0.0,3.960725399654268e-05,100,0.0,0.0015721338987307527,100
Lunch,Total,0.9423076923076923,0.9130434782608695,0.9615384615384616,0.9459415584415585,0.9118890977443609,0.9645935960591133,0.9536672629695886,0.9298172757475083,0.9777462121212122,0.0,1.037464914699036e-05,100,0.0,0.0012681286199481981,100
Holiday,Target,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1964070269910797,100,0.0,0.048550746423148196,100
Holiday,Background,0.9333333333333333,0.9024390243902439,0.9736842105263158,0.9370882740447959,0.8993589743589744,0.9666666666666667,0.9518002322880371,0.91256038647343,0.976328903654485,0.0,0.00016265359135044015,100,0.0,0.0011999352393532428,100
Holiday,Total,0.9433962264150944,0.915948275862069,0.9791666666666666,0.9468984962406015,0.9207894736842105,0.975,0.9607843137254902,0.9223076923076924,0.9795918367346939,0.0,0.010706068652545973,100,0.0,0.05920148312398997,100
