Scenario,Condition,N_seeds,Mean_of_MeanWait,Median_of_MeanWait,Mean_of_P95Wait,Median_of_P95Wait,Mean_of_SuccessRate,Median_of_SuccessRate
Festival,Uniform,100,144.6503702676076,144.25740508969545,337.78649999999993,305.29999999999995,0.9418745462634464,0.9565217391304348
Festival,Poisson,100,143.68528784151187,140.08488372093024,324.53649999999993,308.625,0.9423681088700107,0.9502467105263157
Festival,Synchronized,100,160.29068346560788,159.2572463768116,380.2009999999999,363.79999999999995,0.9490118464110142,0.9595918367346938
Lunch,Uniform,100,145.99718247334866,143.0,341.9844999999999,321.37499999999994,0.933494401399637,0.9423076923076923
Lunch,Poisson,100,147.59468276141465,147.75,335.9544999999999,328.67499999999995,0.9382642862197845,0.9459415584415585
Lunch,Synchronized,100,160.41759400412525,161.78488372093022,361.3205,342.54999999999984,0.9496372126523347,0.9536672629695886
Holiday,Uniform,100,147.86152160747517,144.56506679861454,331.0274999999999,321.3249999999998,0.9392383966311789,0.9433962264150944
Holiday,Poisson,100,145.38875286821423,141.11904761904762,318.7424999999999,303.3499999999998,0.9412294248334926,0.9468984962406015
Holiday,Synchronized,100,158.63804913645703,156.9375,337.92999999999995,316.0249999999999,0.9468998984218893,0.9607843137254902
